date,season,competition,league_match,home_team,away_team,home_score,away_score,home_pen,away_pen,penalties,shootout_winner,neutral,venue,event_id,stage
1997-07-15,1996,CONCACAF CL,False,C.S.D. Comunicaciones,Seattle Sounders (1994–2008),2,0,,,False,,False,,wiki-ccc-1996-1997-07-15-C.S.D. Comunicaciones-Seattle Sounders (1994–2008),
1997-07-15,1996,CONCACAF CL,False,Necaxa,Cruz Azul,1,1,,,False,,False,,wiki-ccc-1996-1997-07-15-Necaxa-Cruz Azul,
1997-07-18,1996,CONCACAF CL,False,Seattle Sounders (1994–2008),Necaxa,1,4,,,False,,False,,wiki-ccc-1996-1997-07-18-Seattle Sounders (1994–2008)-Necaxa,
1997-07-18,1996,CONCACAF CL,False,C.S.D. Comunicaciones,Cruz Azul,1,2,,,False,,False,,wiki-ccc-1996-1997-07-18-C.S.D. Comunicaciones-Cruz Azul,
1997-07-20,1996,CONCACAF CL,False,C.S.D. Comunicaciones,Necaxa,3,3,,,False,,False,,wiki-ccc-1996-1997-07-20-C.S.D. Comunicaciones-Necaxa,
1997-07-20,1996,CONCACAF CL,False,Seattle Sounders (1994–2008),Cruz Azul,0,11,,,False,,False,,wiki-ccc-1996-1997-07-20-Seattle Sounders (1994–2008)-Cruz Azul,
1997-08-12,1997,CONCACAF CL,False,LA Galaxy,C.D. Luis Ángel Firpo,2,0,,,False,,False,,wiki-ccc-1997-1997-08-12-LA Galaxy-C.D. Luis Ángel Firpo,
1997-08-12,1997,CONCACAF CL,False,D.C. United,United Petrotrin,1,0,,,False,,False,,wiki-ccc-1997-1997-08-12-D.C. United-United Petrotrin,
1997-08-16,1997,CONCACAF CL,False,Cruz Azul,CSD Comunicaciones,5,0,,,False,,False,,wiki-ccc-1997-1997-08-16-Cruz Azul-CSD Comunicaciones,
1997-08-17,1997,CONCACAF CL,False,Guadalajara,C.S. Cartaginés,1,0,,,False,,False,,wiki-ccc-1997-1997-08-17-Guadalajara-C.S. Cartaginés,
1997-08-22,1997,CONCACAF CL,False,D.C. United,LA Galaxy,0,1,,,False,,False,,wiki-ccc-1997-1997-08-22-D.C. United-LA Galaxy,
1997-08-22,1997,CONCACAF CL,False,Guadalajara,Cruz Azul,2,3,,,False,,False,,wiki-ccc-1997-1997-08-22-Guadalajara-Cruz Azul,
1997-08-24,1997,CONCACAF CL,False,D.C. United,Guadalajara,2,2,,,False,,False,,wiki-ccc-1997-1997-08-24-D.C. United-Guadalajara,
1997-08-24,1997,CONCACAF CL,False,LA Galaxy,Cruz Azul,3,5,,,False,,False,,wiki-ccc-1997-1997-08-24-LA Galaxy-Cruz Azul,
1998-06-29,1998,CONCACAF CL,False,Colorado Rapids,León,1,0,,,False,,False,,wiki-ccc-1998-1998-06-29-Colorado Rapids-León,
1998-07-15,1998,CONCACAF CL,False,León,Colorado Rapids,4,2,,,False,,False,,wiki-ccc-1998-1998-07-15-León-Colorado Rapids,
1998-08-11,1998,CONCACAF CL,False,D.C. United,Joe Public F.C.,8,0,,,False,,False,,wiki-ccc-1998-1998-08-11-D.C. United-Joe Public F.C.,
1998-08-11,1998,CONCACAF CL,False,Cruz Azul,Deportivo Saprissa,0,0,3,5,True,Deportivo Saprissa,False,,wiki-ccc-1998-1998-08-11-Cruz Azul-Deportivo Saprissa,
1998-08-12,1998,CONCACAF CL,False,León,C.D. Luis Ángel Firpo,1,1,3,2,True,León,False,,wiki-ccc-1998-1998-08-12-León-C.D. Luis Ángel Firpo,
1998-08-12,1998,CONCACAF CL,False,Toluca,Liga Deportiva Alajuelense,2,0,,,False,,False,,wiki-ccc-1998-1998-08-12-Toluca-Liga Deportiva Alajuelense,
1998-08-14,1998,CONCACAF CL,False,D.C. United,León,2,0,,,False,,False,,wiki-ccc-1998-1998-08-14-D.C. United-León,
1998-08-14,1998,CONCACAF CL,False,Deportivo Toluca,Deportivo Saprissa,1,1,,,False,,False,,wiki-ccc-1998-1998-08-14-Deportivo Toluca-Deportivo Saprissa,
1998-08-16,1998,CONCACAF CL,False,León,C.D. Saprissa,0,2,,,False,,False,,wiki-ccc-1998-1998-08-16-León-C.D. Saprissa,
1998-08-16,1998,CONCACAF CL,False,D.C. United,Deportivo Toluca,1,0,,,False,,False,,wiki-ccc-1998-1998-08-16-D.C. United-Deportivo Toluca,
1999-08-18,1999,CONCACAF CL,False,LA Galaxy,Necaxa,1,1,3,4,True,Necaxa,False,,wiki-ccc-1999-1999-08-18-LA Galaxy-Necaxa,
1999-09-28,1999,CONCACAF CL,False,Liga Deportiva Alajuelense,Toluca,1,0,,,False,,False,,wiki-ccc-1999-1999-09-28-Liga Deportiva Alajuelense-Toluca,
1999-09-28,1999,CONCACAF CL,False,Chicago Fire Soccer Club,Joe Public F.C.,2,0,,,False,,False,,wiki-ccc-1999-1999-09-28-Chicago Fire Soccer Club-Joe Public F.C.,
1999-09-29,1999,CONCACAF CL,False,Necaxa,Deportivo Saprissa,3,2,,,False,,False,,wiki-ccc-1999-1999-09-29-Necaxa-Deportivo Saprissa,
1999-09-29,1999,CONCACAF CL,False,D.C. United,Club Deportivo Olimpia,1,0,,,False,,False,,wiki-ccc-1999-1999-09-29-D.C. United-Club Deportivo Olimpia,
1999-10-01,1999,CONCACAF CL,False,Liga Deportiva Alajuelense,Chicago Fire Soccer Club,1,1,5,4,True,Liga Deportiva Alajuelense,False,,wiki-ccc-1999-1999-10-01-Liga Deportiva Alajuelense-Chicago Fire Soccer Club,
1999-10-01,1999,CONCACAF CL,False,D.C. United,Necaxa,1,3,,,False,,False,,wiki-ccc-1999-1999-10-01-D.C. United-Necaxa,
1999-10-03,1999,CONCACAF CL,False,Chicago Fire Soccer Club,D.C. United,2,2,,,False,,False,,wiki-ccc-1999-1999-10-03-Chicago Fire Soccer Club-D.C. United,
1999-10-03,1999,CONCACAF CL,False,Necaxa,Liga Deportiva Alajuelense,2,1,,,False,,False,,wiki-ccc-1999-1999-10-03-Necaxa-Liga Deportiva Alajuelense,
2001-01-16,2000,CONCACAF CL,False,Toluca,Club Deportivo Olimpia,0,1,,,False,,False,,wiki-ccc-2000-2001-01-16-Toluca-Club Deportivo Olimpia,
2001-01-16,2000,CONCACAF CL,False,Pachuca,Joe Public F.C.,1,0,,,False,,False,,wiki-ccc-2000-2001-01-16-Pachuca-Joe Public F.C.,
2001-01-17,2000,CONCACAF CL,False,D.C. United,Liga Deportiva Alajuelense,2,1,,,False,,False,,wiki-ccc-2000-2001-01-17-D.C. United-Liga Deportiva Alajuelense,
2001-01-17,2000,CONCACAF CL,False,LA Galaxy,Real C.D. España,0,0,5,3,True,LA Galaxy,False,,wiki-ccc-2000-2001-01-17-LA Galaxy-Real C.D. España,
2001-01-19,2000,CONCACAF CL,False,Club Deportivo Olimpia,Pachuca,4,0,,,False,,False,,wiki-ccc-2000-2001-01-19-Club Deportivo Olimpia-Pachuca,
2001-01-19,2000,CONCACAF CL,False,LA Galaxy,D.C. United,1,1,4,2,True,LA Galaxy,False,,wiki-ccc-2000-2001-01-19-LA Galaxy-D.C. United,
